negative	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
justification	AND WE SEE THE RIGHT OF THE PERSON  THAT OWNS A STORE TO SELL TOBACCO  AND THEREFORE FEEDS HIS FAMILY WHICH IS MORE IMPORTANT	BECAUSE WE CANNOT HAVE A LIMITTED BAN
evidence	BECAUSE WE CANNOT HAVE A LIMITTED BAN	WE CANNOT SAY OH BECAUSE YOU ARE FIVE METRES AWAY FROM A SCHOOL YOU CANNOT SELL TOBACCO
justification	BUT BECAUSE YOU ARE FIFTEEN METRES AWAY FROM THE SCHOOL YOU CAN SELL TOBACCO AND IT IS OK	BECAUSE NO ONE WILL GET HURT
justification	YOU ARE LIVING IN A WORLD  I AM GUESSING WHERE IN SCHOOLS  STUDENTS DON'T SMOKE AND TEACHERS DON'T EXIST	BECAUSE THAT'S THE ONLY WAY WE CAN SUPPOSE THAT TOBACCO IS NOT AN IMPORTANT PART OF THEIR MARKET
justification	THEREFORE RESTRICTING IN  SUCH A SMALL AREA THEN IT WILL NOT ACTUALLY HAVE ANY POSITIVE EFFECTS	CHILDREN ALSO GO OUT ON A TRIP WITH THEIR FRIENDS THEY COULD BUY TOBACCO THERE
negative	WE ARE NOT HERE TO PROPOSE LEGALIZATION OF MARIJUANA	BUT INSTEAD A GOVERNMENT THAT IS EVEN MORE AWARE OF  WHAT THE IMPLICATIONS ARE
negative	HOWEVER IT'S NOT BANNED AND IT'S PRESENT  EVERYWHERE	HOWEVER THERE ARE DANGERS IMPLICATIONS IN PRACTICALLY IN EVERYTHING EVEN DRIVING THAT DOESN'T MEAN THAT THE GOVERNMENT SHOULD BAN DRIVING BECAUSE WELL IT IS DANGEROUS
negative	I CAN UNDERSTAND YOUR POINT TO SOME EXTENT	BUT THE CASE IS THAT IF WE HAVE A SMOKER THE REASON THAT HE WANTS TO SMOKE  IS BECAUSE OF NICOTINE
negative	YES I SEE YOUR POINT	BUT WE'VE SEEN MANY CAMPAIGNS WE'VE SEEN MANY POSTERS HELPING PEOPLE QUIT FROM SMOKING BUT THEY ARE ACTUALLY INEFFECTIVE
negative	BECAUSE IT'S A REALLY GOOD EDUCATIONAL MEASURE	BUT NOBODY CAN CONVINCE THEM THE SMOKERS TO QUIT FROM SUCH AN ADDICITIVE HABIT
negative	YEAH WE UNDERSTAND THAT THERE IS A PROBLEM WITH SMOKING THAT THE NUMBER OF SMOKERS SHOULD BE REDUCED AND IDEALLY DIMINISHED	BUT WE DO NOT SEE HOW A BAN WOULD BE THE RIGHT MEASURE IN ORDER TO HAVE THAT EFFECT
negative	WE HAVE SEEN FOR EXAMPLE PROHIBITON IN THE UNITED STATES IN THE NINETEEN-THIRTIES WHERE THEY TRIED ESSENTIALLY TO BAN ALL ALCOHOL CONSUMPTION AND SALES	BUT THAT DID NOT REALLY WORK BECAUSE OF THE BLACK MARKET AND BECAUSE PEOPLE WERE UNWILLING TO DO SO
negative	LIKE WE HAVE SEEN THAT MANY CAMPAIGNS THAT HAVE ACTUALLY WORKED THAT ARE NOT RELATED TO BANNING	BUT WE ALSO DO NOT SEE HOW BANNING WORKS SO YOU SEE THE PROBLEM HERE BUT ESSENTIALLY THE MEASURE IS INEFFECTIVE
negative	WELL YES BUT NOBODY DRIVES OR INDEED DOES ANY FARMING WORK IN ENCLOSED PLACES	BUT THEY DO SMOKE
negative	I WILL UNDERSTANDING THAT THAT PERSON WILL PROBABLY GO BANKRUPT	BUT IT'S NOT LIKE TOBACCO IS THE PRODUCT THAT ON WHICH THE MINITURE ECONOMY AROUND SCHOOLS IS BASED
negative	AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	AND EVEN IF WE DONT LOOK AT IT WE HAD RESTRICTED AREAS
negative	AIR DOES TRAVEL AND IN THAT SENSE IF WE IF THAT IS OUR ARGUMENT FOR BANNING SMOKE WE SHOULD BAN CARS	BUT THAT'S NOT ACTUALLY THE CASE
negative	SO OF COURSE IT IS IMPORTANT TO VALUE OTHER PEOPLES HEALTH	BUT THAT'S WHY WE HAVE THE RESTRICTIONS AND THAT'S WHY WE HAVE LIMITS TO IT
negative	SO OF COURSE IT IS IMPORTANT TO VALUE OTHER PEOPLES HEALTH	BUT WE A BAN IS A COMPLETELY DIFFERENT THING
negative	THEREFORE A NON SMOKER CAN STAY INSIDE THE RESTAURANT	WHILE THE SMOKER CAN BE OUTSIDE THE RESTAURANT
negative	WE CANNOT SAY OH BECAUSE YOU ARE FIVE METRES AWAY FROM A SCHOOL YOU CANNOT SELL TOBACCO	BUT BECAUSE YOU ARE FIFTEEN METRES AWAY FROM THE SCHOOL YOU CAN SELL TOBACCO AND IT IS OK
negative	AND OK  WE GET THE POINT AND IT IS VERY IMPORTANT POINT THAT IT IS NOT PROPERLY IMPLEMENTED	WE BELIEVE THAT YES WE SHOULD FOCUS ON MAKING IT MORE ACTIVE AND ACTUALLY HAVING A POLICE FORCE THAT WILL BE INTERCEPT WHEN THEY GET A CALL TO ACTUALLY REACT TO AND CAUSE THE FINES AND ACTUALLY MOVE ON THE WHOLE PROCEDURE
negative	AND ALSO ON YOUR POINT CONCERNING THE POLICE FORCES WE DO NOT SAY THAT WE GOING TO HAVE A SPECIFIC TASK FORCES FOR THAT	BUT WE DO CLAIM IS THAT RIGHT NOW IN THE STATUS QUO THE POLICE IS NOT REACTING TO WHEN SUCH INCIDENTS HAPPEN
negative	DRIVING CARS THE EXHAUST FUMES FROM THE CARS ARE ACTUALLY MUCH MORE DAMAGING THAN A PERSON SMOKING OUTDOORS	BUT WE HAVEN'T BANNED DRIVING
negative	SUPPORTING SOMEBODY'S RIGHT TO HEALTH IS VERY IMPORTANT	BUT WE ARE SUPPOSING THAT IN A RESTAURANT THERE WILL ALL BE GROUPS OF SMOKERS AND GROUPS OF NON SMOKERS
negative	I UNDERSTAND THAT THEY DO HAVE THE RIGHT NOT TO INHALE SECONDHAND SMOKE EVERYBODY DOES THAT DOES HAVE THAT RIGHT	BUT IT'S MORE AN ISSUE OF PERSONAL CHOICE THAN AN ACTUAL BAN
negative	THERE ARE MANY STUDIES THAT SHOW THAT SOME PORTIONS OF ALCOHOL EVERYDAY  CAN ENHANCE YOUR MENTAL CAPABILITIES	THEY ARE ACTUALLY NO SUCH RESEARCH BEING DONE CONCERNING SMOKING OR DRUGS
negative	BECAUSE THE SOCIETY BELIEVES THAT IN A PRIVATE SPACE IN YES THE SPACE OF YOUR HOME YOU CAN DO AS YOU LIKE	BUT YOU CANNOT DO AS YOU LIKE IN A PUBLIC SPACE
negative	AND THAT'S WHY WE'RE GOING TO MAKE THE ENVIRONMENT FOR THEM	BUT WE SHOULD ALSO  MAKE THE  ENVIRONMENT FOR THE NON SMOKERS
negative	OF COURSE THERE ARE LIMITATIONS THAT IN AN OPEN SPACE IT IS MUST EASIER FOR THE SECOND HAND SMOKE PROBLEM TO BE MINIMIZED	BUT IT'S STILL THERE
negative	BUT IF HE IS AWARE  AND YES OK HE HAS TO LIMIT HIMSELF NOT TO DO IT INSIDE HOUSE	BUT HE'S ALLOWED TO GO OUTSIDE IN THE CORNER AND BE ABLE TO SMOKE
negative	HOW IS THE GOVERNMENT GOING TO CONTROL	FOR EXAMPLE IN GREECE MORE THAN FIFTY PERCENT OF POPULATION ARE SMOKERS
negative	SMOKING YES ITS A HABIT THAT IS HAZARDOUS	HOWEVER JUST BANNING IT IS NOT IT IS NOT IN THE ESSENCE OF THE PROBLEM
negative	YOU SAY THAT WE SHOULD EDUCATE THE YOUNG PEOPLE YES	BUT IF TOBACCO IS EVERYWHERE AND YOU KNOW CIGARETTES ARE EVERYWHERE ALLOWED YOU KNOW IT'S NOT GOING REALLY TO HELP THE SITUATION
negative	WE GET WHY IT SHOULD BE BANNED IN HOSPITALS FOR EXAMPLE	BUT WE DO NOT SEE HOW A COMPLETE BAN IN PUBLIC PLACES ACTUALLY SUCCEEDS IN DOING SO
negative	WE BELIEVE IT'S ESSENTIALLY THAT THE INDIVIDUAL HAS THE RIGHT TO TO CHOOSE WHETHER TO SMOKE OR NOT	BUT ALSO THE OTHER INDIVIDUALS HAVE THE RIGHTS TO CHOOSE WHETHER THEY WANT TO BE NEAR THE SMOKER OR NOT
negative	WE BELIEVE THAT EVEN THOUGH  THERE ARE SOME CURRENT BANS WHICH WE BELIEVE THEY ARE OKAY	BUT WE DO NOT WANT THAT TO BE EXTENDED ANYMORE ANY FURTHER
negative	WE'RE CERTAINLY NOT IN FAVOUR OF ALL PEOPLE AROUND SMOKING OR IN FAVOR OF THE ACT OF SMOKING ITSELF	BUT WE ARE IN FAVOUR OVER THE FREEDOM TO CHOOSE WHETHER TO SMOKE OR NOT
negative	THERE USED TO BE EVEN A FEW DECADES AGO OVER FIFTY OVER FIFTY PERCENT	BUT THE NUMBER OF THE PERCENTAGE OF SMOKERS CURRENTLY IS LOWER THAN TWENTY PERCENT
negative	BUT WE ALSO WE BELIEVE THAT  THERE ARE SO MANY YOUNG PEOPLE WHO ARE WHO AS IT IS WITH THE CURRENT STATUS QUO THEY'RE SIMPLY GONNA BECOME SMOKERS	WE DO NOT SEE IN ANY WAY HOW SUCH A MEASURE LIKE THE ONE YOU'RE PROPOSING IS ACTUALLY IMPROVING THEIR SITUATION INSTEAD OF ACTUALLY TRYING TO TO EDUCATE THEM AND HAVE ALL THESE CAMPAIGNS THAT WILL MAKE THEM CHANGE THEIR MENTALITY
negative	BUT AS YOU JUST SAID CAMPAIGNS ARE NOT ACTUALLY AS EDUCATIONAL THEY HAVE NOT ACTUALLY BROUGHT AWARENESS IN OUR SOCIETY	WHEREAS A BAN WILL BRING AWARENESS
negative	BUT ANYWAY I THINK THAT WE SHOULD PROBABLY EDUCATE PEOPLE WITH CAMPAIGNS OR POSTER'S OR LOGOS ON CIGARETTES WHICH THEY ARE ALREADY THERE	BUT THEY APPARENTLY DO NOT REALLY WORK
negative	I SEE YOUR POINT	BUT PEOPLE  REALLY DO NOT DO ACTIONS LIKE CRIMES OR MURDERS BECAUSE THEY ARE AFRAID OF THE CONSEQUENCES
negative	LOT'S OF ACTIONS ARE ACTUALLY BANNED SUCH AS AS WE SAID CRIMES	BUT WE SEE A LOT OF CRIMINALS IN THE SOCIETY
negative	I THINK THAT YES WE SHOULD REALLY PAY ATTENTION TO THE COMMUNITY	BUT NOT AS DRASTIC AS YOU SAID AWAY
negative	I THINK THAT YES OF COURSE WE'VE SEEN MANY CASES WITH PEOPLE SPENDING LOTS OF MONEY ON CIGARETTES	BUT WE HAVE SEEN OTHER CASES THAT PEOPLE BECAUSE OF HAVING A FAMILY OR SEE THAT IT IS SOMETHING HELPFUL FOR THEMSELVES TRYING AND ACTUALLY SUCCEEDING IN QUITTING SMOKING
negative	CO2 IS BAD FOR THE PHENOMENOM OF GASES BUT HOWEVER  IT IS NOT DIRECTLY BAD FOR HUMANS	WHEREAS A CIGARETTE HAS 120 SUBSTANCES ASIDE THAT HAVE BEEN PROVEN TO BE HAZARDOUS FOR THE HUMAN HEALTH
negative	AND NO ONE WILL STOP THE PROBLEM RIGHT NOW AS INSTEAD WE WILL EDUCATE THE FUTURE GENERATION HOW TO NOT SMOKE AND HOW SMOKING IS BAD THEY WANT THAT IN TWENTY THIRTY OR FORTY YEARS WE HAVE OUR RESULT THEY PROPOSE MEASURE THAT WILL BE VERY LONGTERM	HOWEVER THE PROBLEM HAVE TO BE TACKLE NOW AND NOT IN THIRTY OF FORTY YEARS
negative	WE BELIEVE THAT BECAUSE THEY DO NOT HAVE THE FREEDOM OF CHOICE OF WHETHER THEY ARE AROUND THOSE AROUND THE SMOKERS AROUND THE SMOKE AND	WE ALL KNOW THE VERY BAD EFFECTS IN IN IN HEALTH IN GENERAL CAUSED BY SMOKING AND BY PASSIVE SMOKING
negative	BECAUSE ESSENTIALLY WHEN YOU HAVE THE SMOKERS  BEING IN A PLACE THAT DOESN'T MEAN THAT ALL THE OTHER PEOPLE AROUND ARE NON SMOKERS AND DO NOT WANT TO BE EXPOSED TO SMOKING SHOULD LEAVE THAT'S ABSURD	SO IT DOESN'T MAKE MUCH MORE SENSE IN ORDER TO PROTECT THOSE PEOPLE RATHER THAN SIMPLY PUTTING THE THE RIGHT OF THE PEOPLE WERE TAKING THAT RISK
negative	BUT WHAT THEY BELIEVE THIS GENERALLY THAT THEY ARE NOT ENOUGH	ESPECIALLY HERE IN GREECE THEY ARE NOT IMPLEMENTED THE WAY THEY SHOULD BE
negative	WE HAVE TOBACCO WHICH WE ALL KNOW HOW DANGEROUS IT IS AND HOW CARCINOGENIC IT IS	AND IT IS LEGAL
negative	BUT INSTEAD A GOVERNMENT THAT IS EVEN MORE AWARE OF  WHAT THE IMPLICATIONS ARE	AND WE BELIEVE THAT BECAUSE OF THAT SMOKING SHOULD BE BANNED
negative	SO FOR EXAMPLE AT A WITH DRIVING  WE ARE TRYING TO ENSURE THAT THE PEOPLE PEOPLE WHO DRIVE ARE  ACTUALLY RESPONSIBLE AND KNOW HOW TO DRIVE	AND THEY ACTUALLY GET THOSE DRIVERS LICENSE LICENSES
negative	WITH SMOKING YOU CAN'T  REALLY IMPLEMENT SUCH THING	GENERALLY WHAT WE SEE IS THE TENDENCY OF SMOKERS BEING IRRESPONSIBLE OF SMOKERS EXACTLY
negative	SO GENERALLY WE SEE THAT SMOKERS OUT THERE ARE IN ARE INSENSITIVE TO TO THOSE THINGS EVEN IF THEY WERE NOT	THAT SIMPLY DOES NOT  THAT DOESN'T SIMPLY MEAN THAT OKAY SMOKING IS FINE AND THE GOVERNMENT SHOULD BE ALLOWING IT
negative	FOR EXAMPLE IN THE UNITED KINGDOM HUNDREDS OF MILLIONS OF POUNDS  ARE GAINED FROM THE TAXES ON SMOKING	SAME THING GOES FOR THIS BANNING SMOKING  COULD MEAN THAT THERE WOULD BE HUGE ECONOMICAL IMPLICATIONS
negative	BANNING SMOKING  COULD MEAN THAT THERE WOULD BE HUGE ECONOMICAL IMPLICATIONS	AND POTENTIALLY CAN DESTROY A HUGE INDUSTRY THAT BENEFITS THE ENTIRE  ECONOMIOC SOCIETY
negative	EVERY SMOKER IS INFORMED EVEN IN THE PACKET  ITS WRITTEN THAT SMOKING IS BAD FOR YOUR HEALTH AND IN  EVERY SMOKER IS AWARE OF THE IMPLICATION OF HEALTH THAT SMOKING COULD  THE IMPLICATIONS OF WHAT SMOKING COULD CAUSE	AND MOREOVER THERE IS PLENTY OF INFORMATIONS AROUND SCHOOLS AROUND WORKPLACES EVERYBODY IS AWARE OF DANGERS OF SMOKING
negative	SO PEOPLE THAT ARE ACTUALLY SMOKERS THEY ARE DOING WITH THEIR COUSIN AND THEY ARE NOT THEY ARE HARMING HARMING THEIRSELVES BUT THEY KNOW THEY ARE DOING IT	IT'S NOT THAT THEY ARE UNAWARE OF THE POSSIBLE DANGERS THAT SMOKING COULD HAVE FOR THEIR HEALTH
negative	HOWEVER IN EVERY PUBLIC PLACE IN EVERY RESTAUTRANT  EVERY AREA THAT  PEOPLE ARE AROUND THERE ARE AREAS FOR SMOKERS AND AREAS FOR NON SMOKERS	NON SMOKERS COULD EASILY AVOIDS SMOKE AND THE POTENTIAL   AND THIS  HAZARDS TO SMOKE AND THEY COULD GO TO THE AREAS THAT ARE NOT FOR SMOKERS
negative	THOSE RULES ARE NOT APPLIED  INTO IN GREECE SPECIFICALLY  IS THE PROBLEM OF  OTHER MECHANISMS THAT ARE RESPONSIBLE FOR APPLYING THIS UH THESE RULES	AND THAT'S NOT THAT HAS NOTHING TO DO  WITH A SMOKERS AND NON SMOKERS
negative	SAME THING THEN IS GOES WITH ALCOHOL	YOU CAN BUY ALCOHOL IN YOU CAN BUY ALCOHOL YOU CAN BUIY ALCOHOL IN THE SUPERMARKET
negative	HOWEVER THERE ARE DANGERS IMPLICATIONS IN PRACTICALLY IN EVERYTHING EVEN DRIVING THAT DOESN'T MEAN THAT THE GOVERNMENT SHOULD BAN DRIVING BECAUSE WELL IT IS DANGEROUS	GOVERNMENT  WILL EVEN  AFFORD  TO  FREE MARKET AND CONSUMER IS RESPONSIBLE FOR HIS OWN HEALTH FOR TAKING IN ACCOUNT THE DANGERS THAT SMOKING COULD HAVE
negative	BUT HAS TO DO WITHIN THE WORLD OF THE  CONSUMER  CONSUMER HOW  DANGEROUS THE SMOKING IS	AND ALLOW HIM TO COMPREHEND HIM TO FULLY UNDERSTAND AND SHOW HIM AND EXPLAIN HIM WHY SMOKING IS BAD BUT YES THAT SOMETHING THAT WE 
negative	TO THEM BUYING A PACK OF CIGARETTES  IS THREE DOLLARS FOR EXAMPLE BUT IN REALITY THE EFFECT OF THAT PACK OF CIGARETTE IN SOCIETY IS MUCH WORSE	AND THAT'S WHY WE WANT TO EDUCATE THEM THROUGH CAMPAIGNS THROUGHT LABELS TROUGH ADVERTISEMENT BUT ALSO THROUGH A RADICAL CHANGE AND THAT IS THE BAN ON SMOKING
negative	BECAUSE IF I CANNOT STAY FOR FIVE HOURS AND GO TO WORK JUST BECAUSE I HAVE  TO EARN SOME MONEY THAT IS A SERIOUS PROBLEM THIS IS A SERIOUS PSYCHOLOGICAL PROBLEM AND WE AS A SOCIETY SHOULD DEAL WITH THAT	AND IF THEY'RE SAYING NO WE DON'T CARE ABOUT THAT YOU CAN SMOKE ANYWHERE YOU WANT YOU CAN NEVER REALIZE THAT YOU HAVE A PROBLEM YOU CAN NEVER BE AWARE OF YOUR PROBLEM AND YOU CAN JUST DO WHATEVER YOU WANT THAN THAT IS BEST FOR OUR SOCIETY
negative	BUT THE CASE IS THAT IF WE HAVE A SMOKER THE REASON THAT HE WANTS TO SMOKE  IS BECAUSE OF NICOTINE	IF HE JUST WANTS TO DO IT OUT OF THE HABIT OF DOING THE MOVEMENT MY ANSWER TO THAT IS ADAPTABILITY
negative	BUT WE TOTALLY DISAGREE ON THE MEASURES THAT IS GOING TO BE TAKING IN ORDER TO ACHIEVE THAT SCORE	AND WE SHOULD DISCUSS THE MEASURE HOW AND THE GOVERNMENT HAS COME TO A VERY CLEVER PLAN AND INSTEAD OF SEEING THE MENTALITY IT SAYS BAN EVERYTHING
negative	WE PROPOSE A MEDIUM POSITION	AND A MEDIUM POSITION SAYS THAT OF COUSE WE SHOULD RESPECT THE RIGHTS OF THE NON SMOKERS BUT WE SHOULD ALSO AS A LIBERTARIAN DEMOCRACY RESPECT THE RIGHTS OF THE SMOKERS ALSO SOMETHING YOU DO NOT DO WITH A BAN
negative	THE PRACTICALLY OF THIS IS THAT ONE WHO SMOKES LIKE TWENTY OR TEN CIGARETTES A DAY CAN ONLY SMOKE IN THE THREE OR FIVE HOURS HE IS AT HIS OWN PRIVATE RESIDENCE	SO YOU LIMIT AND SUPRESS THIS MINORITY EITHER TO STAY AT HOME OR TO NOT EVEN SMOKE IN A PUBLIC SPACE THAT'S THE PRACTICAL ISSUE THAT IS GOING TO  ARISE TO THE PEOPLE WHO ARE GOING TO TO APPLY TO THIS LAW EVEN IF THEY APPLIED YOU ARE GOING TO BAN THE SMOKERS TO A SITUATION AND THE SOLITUDE OF THEIR HOME JUST BECAUSE THEY ARE ADDICTED TO SOMETHING
negative	AND AGAIN I'M NOT SAYING THAT THE PEOPLE WHO SMOKE ARE GOING TO BE ONLY IN THEIR HOUSES BECAUSE OF COURSE THEY ARE GOING TO WORK	BUT YOU ARE GOING TO CREATE AN ENVIRONMENT IN WHICH THEY HAVE LEARNT TO SMOKE AND YOU DO NOT RESPECT THEIR RIGHT AND AS LONG AS THEY DO NOT POSE A VERY HARMFUL EFFECT TO THE WHOLE  SOCIETY SOMETHING THAT HAS NOT BEEN PROVEN
negative	SOMEONE WHO IS A SMOKER AND HAS WORK AND WANTS TO CONTINUE TO PARTICIPATE IN THE PUBLIC LIFE YOU MAKE HIM TO CHOOSE BETWEEN SPENDING MORE OF HIS LIFE WITH SEEING MORE PEOPLE WITH WORKING WITH INTERACTING WITH BEING AND PARTICIPATING IN THE GOVERNMENT	ON THE OTHER HAND A TIME OF SOLITUDE INSIDE HIS HOME AND YOU MINIMIZE THUS THE HOURS OF THE SMOKER FROM THE PUBLIC AREA THUS LIMITING HIMSELF AND YOU DO THAT DELIBERATELY TO HARM HIM
negative	BUT THE PROBLEM IS WHY DON'T THEY DO IT	IF IT WAS SO EASY IF IT WAS SUCH AN EASY CHOICE JUST TO HAVE JUST A CIGARETTE IN YOUR HAND WHY WOULDN'T YOU DO THAT AND PAY EXTREME AMOUNT OF MONEY IN ORDER TO SMOKE
negative	IT'S NOT AN EASY CHOICE AND THE FACT IS THAT YOU ARE GOING TO LIMIT THIS PEOPLE DELIBERATELY TO THEIR HOMES	WHEN YOU DO NOT HAVE AN ACTUAL SCIENTIFIC RESEARCH SAYING THAT IT IS HARMFUL SO HARMFUL SECOND HAND SMOKE IN OPEN PLACES NOT IN ENCLOSED SPACES AND AGAIN WE SHOULD NOT SEE EVERYTHING AS BLACK AND WHITE
negative	THE GOVERNMENT SHOULD RESPECT THE PEOPLE AND THE SITUATION OF THE PEOPLE WHO DO NOT HAVE SUCH A STRONG WILL UP TO THE POINT THAT THEY DO NOT HARM ON A VERY BIG DEGREE THE OTHER PEOPLE	AND AGAIN IF IT WAS SUCH AN EASY THING TO STOP FROM SMOKING WHY DOESN'T THAT THIRTY PERCENT OF THE PEOPLE WHO SMOKE HASN'T STOPPED
negative	SO WE'RE HERE TO DISCUSS ABOUT THE ISSUE OF BANNING SMOKING IN PUBLIC PLACES	I PERSONALLY BELIEVE THAT  WE SHOULD TAKE THIS STRICT MEASURE IN ORDER  TO REALLY CONVINCE PEOPLE THAT THIS  SORT OF ACTION IT'S ACTUALLY ILLEGAL AND THEY SHOULD REALLY BE CONVINCED IN A HARD WAY MAYBE BUT I THINK IT WILL HAVE EFFECT TO QUIT FROM SMOKING
negative	BUT WE'VE SEEN MANY CAMPAIGN WE'VE SEEN MANY POSTERS HELPING PEOPLE QUIT FROM SMOKING BUT THEY ARE ACTUALLY INEFFECTIVE	SO WHY DON'T WE  TAKE A STRICT MEASURE SUCH AS  BANNING SMOKING FROM EVERY PUBLIC PLACE IN ORDER TO REALLY MAKE THEM REALIZE THAT THE ACTION IS WRONG AND NOT ONLY FOR THEMSELVES AS INDIVIDUALS  BUT FOR THE COMMUNITY AND THE MAJORITY OF THE PEOPLE AS WELL
negative	WHY DO YOU THINK THAT WE CONSIDER SOMEONE TO BE A CRIMINAL WE NEVER SAID THAT WE JUST SAID THAT AS FAR AS SMOKERS DO NOT REALLY RESPECT THE NON SMOKERS WE REALLY FEEL LIKE WE HAVE TO FORCE THEM INTO REALIZING WHAT THEIR ACTION CAUSES THE DANGERS THAT ARE IN STAKE AND GENERALLY MAKE THEM REALIZE THAT WHAT YOU'RE DOING IS WRONG LIKE THERE HAS TO BE A STRONG MEASURE	WHAT YOU SAID THAT CAMPAIGNS ARE NOT YOU KNOW EFFECTIVE ENOUGH BECAUSE IT'S NOT PUTTING VERY MUCH WORK IN IT
negative	YES BUT TAKING INTO CONSIDERATION THAT NOTHING REALLY GOES YOU KNOW THE WAY WE WANT NOTHING REALLY MAKE THEM REALIZE WHAT THEIR OPTIONS THE WAY WE WANT AND NOTHING MAKE THEM REALISE WHAT THEIR ACTION IS	IT'S THE ONLY THING IT'S THE ONLY MEASURE THAT WILL HELP US YOU KNOW ACHIEVE OUR GOAL LIKE WE HAVE TO STOP EMISSIONS
negative	THERE HAVE BEEN CAMPAIGNS THERE HAS BEEN DONE ANYTHING POSSIBLE TO CONVINCE THEM ABOUT WHAT WE ARE TALKING ABOUT BUT APPARENTLY THEY HAVE NOT BEEN CONVINCED NOT ONLY THAT BUT THEY ARE ACTUALLY BEING AN EXAMPLE TO EVERYBODY ELSE	THEY ARE REALLY WITH THEIR ACTION THEY'RE ACTUALLY TELLING TO PEOPLE THAT WHAT WE'RE DOING OUR CHOICE IS NOT ACTUALLY WRONG IT'S ACTUALLY SOMETHING THAT IT'S OUR CHOICE AND WE'RE HAVING FUN OF IT AND WE DON'T REALLY CARE ABOUT OTHER PEOPLE WE DON'T RESPECT ANYBODY
negative	WE BELIEVE THAT THERE ARE MANY WAYS THAT ARE FIRST OF ALL ACTUALLY HAVE BETTER RESULTS AND SECONDLY THAT ARE NOT OF SUCH EXTREME NATURE SUCH AS BANNING	WE BELIEVE FOR EXAMPLE THAT MANY CAMPAIGNS EVEN AGGRESSIVE CAMPAIGNS BUT CAMPAIGNS THAT ARE INFORMATIONAL EDUCATIONAL CAN ACTUALLY CHANGE THE MENTALITY OF THE PEOPLE INSTEAD OF A SIMPLE BAN
negative	WELL THE PROBLEM WITH THE CAMPAIGNS HERE IN GREECE IS THAT THEY HAVE NOT BEEN TRYING HARD ENOUGH	WE BELIEVE THAT MORE ACTIVE CAMPAIGNS CAMPAIGNS THAT ACTUALLY SET OUT TO SHOW IN PRACTIAL WAYS WHAT THE NEGATIVE WAYS ARE
negative	BECAUSE WHAT IT ESSENTIAL CREATES IS HAVING THE STATE APPEAR AS AN ENEMY TO THE SMOKER IT'S NOT TRYING TO UNDERSTAND THE SMOKER IT'S NOT TRYING TO HELP THE SMOKER BUT INSTEAD IT'S MAKING HIM A CRIMINAL FOR SMOKING IN PUBLIC PLACES	AND WE DO NOT SEE HOW MAKING THOSE PEOPLE WHO DO HAVE A PROBLEM OF ADDICTION ACTUALLY  BEING FACED AS CRIMINALS INSTEAD OF ACTUALLY HAVING HELP PROVIDED TO THEM AND MAKE THEM UNDERSTAND WHAT THE REAL PROBLEM IS
negative	HOWEVER WE DO NOT BELIEVE THAT A LAW WOULD IN FACT DO SO	WE HAVE SEEN AFFORDS TO IMPLEMENT SUCH LAWS
negative	WELL WE BELIEVE THAT CAMPAINGS ARE CERTAINLY ARE A BIG PART BUT THERE IS ALSO ANOTHER EDUCATIONAL PART THAT WE DON'T HAVE MENTIONED THAT MUCH	I MEAN MENTALITY IS REALLY SHAPED WHEN THE PERSON IS YOUNGER SO WE BELIEVE THAT IT IS ALSO REALLY ESSENTIAL TO FOCUS ON HOW THE CHILDREN ARE TAUGHT ABOUT SMOKING
negative	BECAUSE WHEN YOU HAVE ALL THOSE PARENTS AND ALL THOSE TEACHERS AND ALL THOSE PEOPLE THOSE ADULTS SURROUNDING THEM THAT DO SMOKE AND DO NOTHING MAKING THEM UNDERSTAND HOW BAD IT IS FOR THE HEALTH THEY MAY SEE THE STATISTICS THEY MAY KNOW IT GENERALLY CAUSES CANCER IF THEY HAVE SEEN THOSE FIGURES ACTUALLY IGNORING THE LAWS IGNORING THE HEALTH EFFECTS THAT IS NOT HELPFUL FOR THEM	SO WE BELIEVE THAT THROUGH EDUCATION THROUGH SCHOOLS AND ALL THAT IT IS ESSENTIAL THAT WE TACKLE THE PROBLEM
negative	SINCE NOT ALL  PEOPLE HAVE CHOSEN TO SMOKE	 NON SMOKERS SHOULDN'T BE  SUBJECTED  SECONDHAND SMOKE TO PASSIVE SMOKING IN PUBLIC AREAS
negative	FOR EXAMPLE  IF YOU ARE IN A RESTAURANT WHERE THERE ARE AREAS SPECIFIC FOR SMOKERS AND SPECIFIC FOR NON SMOKERS   NOBODY CAN ACTUALLY STOP THEIR FROM TRAVELLING	NO MATTER HOW WELL AIR CONDITIONED A PUBLIC PLACE IS A PUBLIC RESTAURANT IS IN THE END YOU WILL GET SECONDHAND SMOKE
negative	FOR EXAMPLE I'M ALLERGIC TO NICOTINE	AND EVEN THE SMALLEST  HINT IN THE AIR WILL PROVOKE AN ALLERGIC REACTION
